DATE,AED,AUD,BHD,BND,BRL,BWP,CAD,CHF,CLP,CNY,COP,CRC,CZK,DKK,DZD,EUR,GBP,HKD,HUF,IDR,ILS,INR,IRR,ISK,JPY,KRW,KWD,KZT,LKR,LVL,LYD,MUR,MXN,MYR,NOK,NPR,NZD,OMR,PEN,PHP,PKR,PLN,QAR,RUB,SAR,SEK,SGD,THB,TND,TRL,TTD,TWD,USD,UYU,VES,XDR,ZAR
1957-11,,0.5970505,,,4.02461e-14,,0.962,4.2854,0.000585983,2.46181,5.2,5.615,,6.90512,,,0.356837,,,,0.00018,4.779,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7207207,,,,,0.0004,,,,5.17384,,,,0.00000338,,,1,,,1,0.714666
1957-12,,0.596374,,,3.93806e-14,,0.977,4.2854,0.000589983,2.46181,5.38,5.615,,6.90512,,,0.3563919,,,,0.00018,4.771,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7199424,,,,,0.0004,,,,5.17384,,,,0.00000338,,,1,,,1,0.713761
1958-01,,0.8922198,,,4.15443e-14,,0.985,4.2856,0.000621982,2.46181,5.61,5.615,,6.90512,,,0.3555176,,,,0.00018,4.762,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7180297,,,,,0.0004,,,,5.17384,,,,0.00000338,,,1,,,1,0.711939
1958-02,,0.8914245,,,4.32754e-14,,0.981,4.2854,0.000621982,2.46181,6.01,5.615,,6.90512,,,0.354975,,,,0.00018,4.757,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7174116,,,,,0.0004,,,,5.17384,,,,0.00000338,,,1,,,1,0.711164
1958-03,,0.891504,,,4.63046e-14,,0.977,4.2854,0.000620982,2.46181,6.11,5.615,,6.90512,,,0.3552019,,,,0.00018,4.756,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7174631,,,,,0.0004,,,,5.17384,,,,0.00000338,,,1,,,1,0.711306
1958-04,,0.8909479,,,5.19304e-14,,0.971,4.2854,0.00069098,2.46181,6.64,5.615,,6.90512,,,0.3550002,,,,0.00018,4.751,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7170515,,,,,0.0004,,,,5.17384,,,,0.00000338,,,1,,,1,0.710891
1958-05,,0.8914245,,,5.71235e-14,,0.967,4.2854,0.00069098,2.46181,6.77,5.615,,6.90512,,,0.3551641,,,,0.00018,4.751,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7174116,,,,,0.0004,,,,5.17384,,,,0.00000338,,,1,,,1,0.711225
1958-06,,0.8928571,,,5.84217e-14,,0.962,4.2854,0.00069398,2.46181,6.8,5.615,,6.90512,,,0.35572,,,,0.00018,4.764,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7185973,,,,,0.0004,,,,5.17384,,,,0.00000338,,,1,,,1,0.712238
1958-07,,0.895175,,,5.88545e-14,,0.96,4.2854,0.000742978,2.46181,6.74,5.615,,6.90512,,,0.3566079,,,,0.00018,4.772,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7204092,,,,,0.0004,,,,5.17384,,,,0.00000338,,,1,,,1,0.714138
1958-08,,0.8947745,,,6.36148e-14,,0.965,4.2854,0.000742978,2.46181,6.52,5.615,,6.90512,,,0.3564808,,,,0.00018,4.774,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7201498,,,,,0.0004,,,,5.17384,,,,0.000009015,,,1,,,1,0.713819
